Country Lookup Key	Country Name	Country Code	 GDP in USD 2010 	 GDP in USD 2011 	 GDP in USD 2012 	 GDP in USD 2013 	 GDP in USD 2014 	 GDP in USD 2015 	 GDP in USD 2016 
COSTA RICA	Costa Rica	CRI	" 37,268,614,024 "	" 42,262,697,840 "	" 46,473,128,286 "	" 49,745,088,112 "	" 50,577,769,838 "	" 54,775,994,479 "	" 57,157,992,434 "
CARIBBEAN SMALL STATES	Caribbean small states	CSS	" 64,524,470,198 "	" 69,668,274,256 "	" 72,051,118,642 "	" 73,417,589,878 "	" 74,433,668,499 "	" 72,828,471,571 "	" 69,191,343,076 "
CUBA	Cuba	CUB	" 64,328,000,000 "	" 68,990,000,000 "	" 73,141,000,000 "	" 77,148,000,000 "	" 80,656,000,000 "	" 87,133,000,000 "	" 91,370,000,000 "
CURACAO	Curacao	CUW		" 3,038,699,609 "	" 3,131,096,089 "	" 3,147,616,201 "	" 3,158,406,034 "	" 3,151,910,782 "	" 3,122,287,933 "
CAYMAN ISLANDS	Cayman Islands	CYM	" 4,156,990,816 "	" 4,186,223,865 "	" 4,291,158,968 "	" 4,405,954,696 "	" 4,563,017,852 "	" 4,708,336,756 "	" 4,909,498,943 "
CYPRUS	Cyprus	CYP	" 25,732,432,719 "	" 27,565,469,098 "	" 24,978,513,427 "	" 23,900,872,626 "	" 23,156,850,007 "	" 19,842,404,305 "	" 20,953,442,550 "
CZECH REPUBLIC	Czech Republic	CZE	" 209,069,940,963 "	" 229,562,733,399 "	" 208,857,719,321 "	" 211,685,616,593 "	" 209,358,834,156 "	" 188,033,050,460 "	" 196,272,068,576 "
GERMANY	Germany	DEU	" 3,396,354,075,664 "	" 3,744,408,602,684 "	" 3,527,344,944,140 "	" 3,732,743,446,219 "	" 3,883,920,155,292 "	" 3,356,235,704,120 "	" 3,467,498,002,104 "
DJIBOUTI	Djibouti	DJI	" 1,128,611,700 "	" 1,239,144,502 "	" 1,353,632,942 "	" 2,042,817,163 "	" 2,214,681,574 "	" 2,430,287,967 "	" 2,603,554,907 "
DOMINICA	Dominica	DMA	" 493,825,926 "	" 501,025,926 "	" 485,996,296 "	" 498,296,296 "	" 520,207,407 "	" 540,737,037 "	" 576,229,630 "
DENMARK	Denmark	DNK	" 321,995,279,402 "	" 344,003,137,611 "	" 327,148,943,812 "	" 343,584,391,648 "	" 352,993,631,618 "	" 302,673,070,847 "	" 313,115,929,314 "
DOMINICAN REPUBLIC	Dominican Republic	DOM	" 53,860,175,557 "	" 58,029,750,744 "	" 60,681,537,195 "	" 62,682,163,838 "	" 67,179,914,026 "	" 71,164,825,258 "	" 75,704,720,190 "
ALGERIA	Algeria	DZA	" 161,155,315,146 "	" 200,254,371,997 "	" 209,021,250,806 "	" 209,724,351,222 "	" 213,860,450,596 "	" 166,361,491,141 "	" 159,994,837,855 "
EAST ASIA & PACIFIC (EXCLUDING HIGH INCOME)	East Asia & Pacific (excluding high income)	EAP	" 7,874,770,924,893 "	" 9,620,273,762,794 "	" 10,727,640,354,236 "	" 11,835,629,991,510 "	" 12,761,629,787,232 "	" 13,294,602,254,118 "	" 13,575,794,190,520 "
EARLY-DEMOGRAPHIC DIVIDEND	Early-demographic dividend	EAR	" 8,575,074,872,867 "	" 9,613,820,765,240 "	" 10,081,635,886,118 "	" 10,259,814,437,389 "	" 10,620,471,211,777 "	" 10,311,638,541,293 "	" 10,550,444,704,869 "
EAST ASIA & PACIFIC	East Asia & Pacific	EAS	" 16,988,747,056,146 "	" 19,687,376,400,049 "	" 21,072,075,411,804 "	" 21,318,560,290,646 "	" 22,002,182,897,792 "	" 21,911,638,600,130 "	" 22,658,589,044,443 "
EUROPE & CENTRAL ASIA (EXCLUDING HIGH INCOME)	Europe & Central Asia (excluding high income)	ECA	" 2,944,940,077,493 "	" 3,660,261,685,136 "	" 3,904,070,673,139 "	" 4,139,016,998,710 "	" 3,841,761,017,808 "	" 2,916,638,590,939 "	" 2,773,218,419,978 "
EUROPE & CENTRAL ASIA	Europe & Central Asia	ECS	" 20,967,706,431,400 "	" 23,249,955,211,795 "	" 22,412,505,450,271 "	" 23,421,005,051,888 "	" 23,738,526,473,026 "	" 20,450,302,716,606 "	" 20,388,826,551,163 "
ECUADOR	Ecuador	ECU	" 69,555,367,000 "	" 79,276,664,000 "	" 87,924,544,000 "	" 95,129,659,000 "	" 101,726,331,000 "	" 99,290,381,000 "	" 99,937,696,000 "
"EGYPT, ARAB REP."	"Egypt, Arab Rep."	EGY	" 218,983,666,062 "	" 235,989,672,978 "	" 279,116,666,667 "	" 288,434,108,527 "	" 305,595,408,895 "	" 329,366,576,819 "	" 332,441,717,791 "
EURO AREA	Euro area	EMU	" 12,628,837,653,380 "	" 13,623,185,516,340 "	" 12,639,557,374,482 "	" 13,190,250,310,518 "	" 13,490,553,822,083 "	" 11,668,482,860,490 "	" 11,967,164,887,076 "
ERITREA	Eritrea	ERI	" 1,589,515,447 "	" 2,065,001,626 "					
SPAIN	Spain	ESP	" 1,420,722,034,063 "	" 1,478,772,824,224 "	" 1,324,820,091,195 "	" 1,354,757,433,213 "	" 1,369,398,844,600 "	" 1,195,119,269,972 "	" 1,232,076,017,362 "
ESTONIA	Estonia	EST	" 19,693,608,289 "	" 23,391,530,006 "	" 23,192,708,982 "	" 25,271,406,708 "	" 26,773,473,625 "	" 23,048,864,243 "	" 24,259,552,889 "
ETHIOPIA	Ethiopia	ETH	" 29,933,790,334 "	" 31,952,763,089 "	" 43,310,721,414 "	" 47,648,211,133 "	" 55,612,228,234 "	" 64,589,334,979 "	" 74,296,618,481 "
EUROPEAN UNION	European Union	EUU	" 14,544,075,622,068 "	" 15,744,157,300,203 "	" 14,636,296,706,795 "	" 15,293,400,915,550 "	" 15,632,613,367,402 "	" 13,545,081,361,696 "	" 13,886,845,315,711 "
FRAGILE AND CONFLICT AFFECTED SITUATIONS	Fragile and conflict affected situations	FCS	" 1,430,217,427,154 "	" 1,453,117,436,184 "	" 1,678,806,401,945 "	" 1,763,713,251,392 "	" 1,923,217,210,048 "	" 1,726,905,458,298 "	" 1,550,706,828,002 "
FINLAND	Finland	FIN	" 249,181,190,476 "	" 275,243,697,751 "	" 258,304,834,622 "	" 271,285,280,621 "	" 274,497,230,803 "	" 234,440,080,998 "	" 240,607,907,010 "
FIJI	Fiji	FJI	" 3,140,508,836 "	" 3,774,530,616 "	" 3,972,012,571 "	" 4,190,143,206 "	" 4,856,963,252 "	" 4,682,546,881 "	" 4,930,204,220 "
FRANCE	France	FRA	" 2,642,609,548,930 "	" 2,861,408,170,265 "	" 2,683,825,225,093 "	" 2,811,077,725,704 "	" 2,852,165,760,630 "	" 2,438,207,896,252 "	" 2,471,285,607,082 "
FAROE ISLANDS	Faroe Islands	FRO	" 2,320,424,601 "	" 2,490,807,831 "	" 2,366,301,252 "	" 2,627,049,837 "	" 2,850,743,875 "	" 2,518,096,286 "	" 2,738,832,687 "
"MICRONESIA, FED. STS."	"Micronesia, Fed. Sts."	FSM	" 296,944,100 "	" 311,301,600 "	" 327,248,700 "	" 317,214,400 "	" 319,271,200 "	" 316,489,900 "	" 332,265,200 "
GABON	Gabon	GAB	" 14,372,591,916 "	" 18,210,308,748 "	" 17,170,465,294 "	" 17,595,745,653 "	" 18,203,968,002 "	" 14,383,107,714 "	" 14,023,890,620 "
UNITED KINGDOM	United Kingdom	GBR	" 2,475,244,321,361 "	" 2,659,310,054,646 "	" 2,704,887,678,387 "	" 2,786,022,872,707 "	" 3,063,803,240,208 "	" 2,928,591,002,003 "	" 2,694,283,209,613 "
GEORGIA	Georgia	GEO	" 12,243,505,583 "	" 15,107,441,447 "	" 16,488,403,076 "	" 17,189,551,521 "	" 17,627,003,455 "	" 14,953,950,557 "	" 15,141,758,567 "
GHANA	Ghana	GHA	" 32,197,272,797 "	" 39,337,314,810 "	" 41,270,954,737 "	" 62,405,374,786 "	" 53,660,342,160 "	" 48,564,863,888 "	" 55,009,730,600 "
GIBRALTAR	Gibraltar	GIB							
GUINEA	Guinea	GIN	" 6,853,467,858 "	" 6,785,137,173 "	" 7,638,045,254 "	" 8,376,613,843 "	" 8,778,473,615 "	" 8,794,202,444 "	" 8,595,955,581 "
"GAMBIA, THE"	"Gambia, The"	GMB	" 1,543,292,393 "	" 1,409,694,554 "	" 1,415,006,238 "	" 1,375,608,956 "	" 1,229,460,602 "	" 1,378,176,868 "	" 1,484,579,844 "
GUINEA-BISSAU	Guinea-Bissau	GNB	" 849,878,424 "	" 1,099,818,652 "	" 989,271,230 "	" 1,046,087,418 "	" 1,054,915,645 "	" 1,048,229,629 "	" 1,179,004,941 "
EQUATORIAL GUINEA	Equatorial Guinea	GNQ	" 16,314,442,183 "	" 21,357,344,847 "	" 22,388,345,810 "	" 21,948,835,350 "	" 21,765,454,404 "	" 13,185,496,836 "	" 11,240,809,132 "
GREECE	Greece	GRC	" 299,361,576,293 "	" 287,797,821,676 "	" 245,670,666,768 "	" 239,862,011,052 "	" 237,029,578,730 "	" 196,591,353,872 "	" 195,222,443,845 "
GRENADA	Grenada	GRD	" 771,013,259 "	" 778,655,926 "	" 799,882,259 "	" 842,620,111 "	" 911,497,407 "	" 997,007,926 "	" 1,061,631,222 "
GREENLAND	Greenland	GRL	" 2,503,156,061 "	" 2,684,467,376 "	" 2,609,667,674 "	" 2,684,952,727 "	" 2,842,048,998 "	" 2,499,115,623 "	" 2,707,146,783 "
GUATEMALA	Guatemala	GTM	" 41,338,008,613 "	" 47,654,783,852 "	" 50,388,460,925 "	" 52,996,540,576 "	" 57,852,399,705 "	" 62,186,186,576 "	" 66,053,725,049 "
GUAM	Guam	GUM	" 4,895,000,000 "	" 4,928,000,000 "	" 5,199,000,000 "	" 5,336,000,000 "	" 5,538,000,000 "	" 5,710,000,000 "	" 5,795,000,000 "
GUYANA	Guyana	GUY	" 3,432,913,353 "	" 3,691,384,743 "	" 4,063,090,016 "	" 4,167,801,803 "	" 4,127,664,336 "	" 4,279,840,362 "	" 4,482,697,337 "
HIGH INCOME	High income	HIC	" 45,585,671,488,087 "	" 49,211,742,295,134 "	" 49,262,520,032,119 "	" 49,886,888,092,443 "	" 50,986,874,848,795 "	" 48,169,284,431,931 "	" 49,181,225,871,698 "
"HONG KONG SAR, CHINA"	"Hong Kong SAR, China"	HKG	" 228,637,697,575 "	" 248,513,617,677 "	" 262,629,441,493 "	" 275,696,879,835 "	" 291,459,356,985 "	" 309,383,627,029 "	" 320,837,638,329 "
HONDURAS	Honduras	HND	" 15,839,344,592 "	" 17,710,315,006 "	" 18,528,601,901 "	" 18,499,710,128 "	" 19,756,494,435 "	" 20,979,767,785 "	" 21,717,622,071 "
HEAVILY INDEBTED POOR COUNTRIES (HIPC)	Heavily indebted poor countries (HIPC)	HPC	" 490,275,634,951 "	" 546,434,357,935 "	" 580,700,670,678 "	" 647,872,456,883 "	" 683,129,004,023 "	" 676,805,764,503 "	" 669,728,831,074 "
CROATIA	Croatia	HRV	" 59,918,313,669 "	" 62,537,851,352 "	" 56,580,819,624 "	" 58,194,069,434 "	" 57,639,588,806 "	" 49,525,747,504 "	" 51,601,147,666 "
HAITI	Haiti	HTI	" 11,661,585,823 "	" 13,008,748,132 "	" 13,708,931,890 "	" 14,498,080,023 "	" 14,790,765,760 "	" 14,857,386,164 "	" 13,723,267,961 "
HUNGARY	Hungary	HUN	" 131,916,516,052 "	" 141,759,722,464 "	" 128,475,498,380 "	" 135,411,698,965 "	" 140,765,018,881 "	" 125,074,286,021 "	" 128,470,534,118 "
IBRD ONLY	IBRD only	IBD	" 20,019,039,739,130 "	" 23,645,033,386,794 "	" 25,140,839,772,231 "	" 26,561,030,339,656 "	" 27,475,647,429,348 "	" 25,950,065,325,006 "	" 26,153,434,029,172 "
IDA & IBRD TOTAL	IDA & IBRD total	IBT	" 21,483,723,192,036 "	" 25,307,796,387,400 "	" 26,931,505,224,688 "	" 28,527,413,148,526 "	" 29,578,253,145,897 "	" 28,039,830,398,546 "	" 28,183,036,024,026 "
IDA TOTAL	IDA total	IDA	" 1,469,119,672,665 "	" 1,664,987,161,327 "	" 1,794,078,345,207 "	" 1,973,428,801,629 "	" 2,112,917,151,582 "	" 2,102,314,112,248 "	" 2,039,741,254,150 "
IDA BLEND	IDA blend	IDB	" 700,031,820,003 "	" 804,396,356,885 "	" 889,578,509,972 "	" 965,837,023,754 "	" 1,036,701,798,768 "	" 999,758,125,096 "	" 931,080,758,172 "
INDONESIA	Indonesia	IDN	" 755,094,160,363 "	" 892,969,107,923 "	" 917,869,910,106 "	" 912,524,136,718 "	" 890,814,755,233 "	" 860,854,235,065 "	" 931,877,364,178 "
IDA ONLY	IDA only	IDX	" 763,982,967,227 "	" 853,829,332,625 "	" 895,130,563,809 "	" 998,443,037,641 "	" 1,066,194,850,213 "	" 1,095,337,766,619 "	" 1,105,541,093,456 "
ISLE OF MAN	Isle of Man	IMN	" 5,920,177,689 "	" 6,566,098,382 "	" 6,690,725,118 "	" 7,000,748,788 "	" 7,708,834,951 "	" 7,085,288,006 "	" 6,846,691,871 "
INDIA	India	IND	" 1,675,615,335,601 "	" 1,823,050,405,350 "	" 1,827,637,859,136 "	" 1,856,722,121,395 "	" 2,039,127,446,299 "	" 2,103,587,817,042 "	" 2,294,797,978,292 "
NOT CLASSIFIED	Not classified	INX							
IRELAND	Ireland	IRL	" 222,148,757,578 "	" 237,472,361,734 "	" 224,999,484,362 "	" 238,543,539,441 "	" 258,471,884,600 "	" 291,499,812,215 "	" 300,523,297,824 "
"IRAN, ISLAMIC REP."	"Iran, Islamic Rep."	IRN	" 486,807,615,326 "	" 580,764,902,917 "	" 598,868,460,913 "	" 460,293,149,324 "	" 432,687,036,178 "	" 384,951,479,697 "	" 417,983,583,566 "
IRAQ	Iraq	IRQ	" 138,461,538,462 "	" 185,470,085,470 "	" 217,807,625,616 "	" 234,648,370,497 "	" 234,648,370,506 "	" 177,498,577,313 "	" 174,896,224,010 "
ICELAND	Iceland	ISL	" 13,683,689,693 "	" 15,158,548,263 "	" 14,724,078,148 "	" 16,033,517,403 "	" 17,758,050,016 "	" 17,389,101,639 "	" 20,618,363,252 "
ISRAEL	Israel	ISR	" 233,995,676,088 "	" 261,468,634,287 "	" 257,180,147,032 "	" 292,636,164,056 "	" 309,558,454,691 "	" 299,813,121,135 "	" 318,950,599,044 "
ITALY	Italy	ITA	" 2,134,017,843,247 "	" 2,291,991,045,770 "	" 2,087,077,032,435 "	" 2,141,315,327,318 "	" 2,159,133,919,744 "	" 1,835,899,237,320 "	" 1,875,797,463,584 "
JAMAICA	Jamaica	JAM	" 13,220,556,883 "	" 14,444,655,300 "	" 14,807,086,889 "	" 14,262,589,158 "	" 13,897,804,560 "	" 14,187,696,311 "	" 14,075,894,320 "
JORDAN	Jordan	JOR	" 27,133,804,244 "	" 29,524,149,165 "	" 31,634,561,670 "	" 34,454,440,181 "	" 36,847,643,587 "	" 38,587,017,944 "	" 39,892,551,149 "
JAPAN	Japan	JPN	" 5,700,098,114,744 "	" 6,157,459,594,824 "	" 6,203,213,121,334 "	" 5,155,717,056,271 "	" 4,850,413,536,038 "	" 4,389,475,622,589 "	" 4,922,538,141,455 "
KAZAKHSTAN	Kazakhstan	KAZ	" 148,047,348,241 "	" 192,626,507,972 "	" 207,998,568,866 "	" 236,634,552,078 "	" 221,415,572,820 "	" 184,388,432,149 "	" 137,278,320,084 "
KENYA	Kenya	KEN	" 40,000,088,347 "	" 41,953,433,591 "	" 50,412,754,861 "	" 55,096,728,048 "	" 61,448,046,802 "	" 64,007,750,169 "	" 69,188,755,364 "
KYRGYZ REPUBLIC	Kyrgyz Republic	KGZ	" 4,794,357,795 "	" 6,197,766,119 "	" 6,605,139,933 "	" 7,335,027,592 "	" 7,468,096,567 "	" 6,678,178,340 "	" 6,813,092,066 "
CAMBODIA	Cambodia	KHM	" 11,242,275,199 "	" 12,829,541,141 "	" 14,054,443,213 "	" 15,227,991,395 "	" 16,702,610,842 "	" 18,049,954,289 "	" 20,016,747,754 "
KIRIBATI	Kiribati	KIR	" 156,120,895 "	" 181,705,003 "	" 190,243,322 "	" 185,113,922 "	" 179,703,443 "	" 171,117,872 "	" 178,328,873 "
ST. KITTS AND NEVIS	St. Kitts and Nevis	KNA	" 760,170,370 "	" 817,759,259 "	" 800,414,815 "	" 839,774,074 "	" 916,566,667 "	" 923,155,556 "	" 971,166,667 "
"KOREA, REP."	"Korea, Rep."	KOR	" 1,144,066,965,324 "	" 1,253,223,044,719 "	" 1,278,427,634,343 "	" 1,370,795,199,976 "	" 1,484,318,219,634 "	" 1,465,773,245,547 "	" 1,500,111,596,236 "
KUWAIT	Kuwait	KWT	" 115,419,399,860 "	" 154,068,115,942 "	" 174,070,382,279 "	" 174,161,142,454 "	" 162,631,412,509 "	" 114,567,298,106 "	" 109,419,728,567 "
LATIN AMERICA & CARIBBEAN (EXCLUDING HIGH INCOME)	Latin America & Caribbean (excluding high income)	LAC	" 4,911,339,906,678 "	" 5,592,263,150,708 "	" 5,629,206,749,772 "	" 5,755,372,416,437 "	" 5,891,055,018,081 "	" 5,006,910,615,828 "	" 4,865,726,916,710 "
LAO PDR	Lao PDR	LAO	" 7,127,792,630 "	" 8,749,241,114 "	" 10,191,350,120 "	" 11,942,230,508 "	" 13,268,458,232 "	" 14,390,442,307 "	" 15,805,692,546 "
LEBANON	Lebanon	LBN	" 38,443,907,042 "	" 39,927,125,961 "	" 44,035,991,746 "	" 46,909,335,135 "	" 48,134,486,625 "	" 49,939,374,833 "	" 51,205,122,504 "
LIBERIA	Liberia	LBR	" 1,998,000,000 "	" 2,398,000,000 "	" 2,721,000,000 "	" 3,067,000,000 "	" 3,144,000,000 "	" 3,177,000,000 "	" 3,277,826,000 "
LIBYA	Libya	LBY	" 74,773,444,901 "	" 34,699,395,524 "	" 81,873,662,519 "	" 65,502,870,174 "	" 41,142,722,414 "	" 27,842,131,480 "	" 26,197,143,268 "
ST. LUCIA	St. Lucia	LCA	" 1,486,758,037 "	" 1,576,988,407 "	" 1,605,146,778 "	" 1,664,816,741 "	" 1,755,130,815 "	" 1,808,079,889 "	" 1,865,375,222 "
